
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  she just started, 00:00:08, 00:00:08
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  She is currently playing black pieces against guy from serbia. , 00:00:08, 00:01:43
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  In her background|| her roommates are current., 00:00:08, 00:03:20
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  um , 00:00:08, 00:03:42
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  Her roommate they're moving in in the background. That's where all the other voices are coming from. , 00:00:08, 00:03:56
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  Her roommates are trying to set up shade for her so she can see the screen. , 00:00:08, 00:04:29
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  Her opponent moved his night up. She , 00:00:08, 00:05:02
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  She moved her pawn up , 00:00:08, 00:05:16
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  let|| , 00:00:08, 00:05:18
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  Her roommates got the sh-- , 00:00:08, 00:05:46
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  They got the shade up. , 00:00:08, 00:05:49
Chess-A-A, A, C3, https://drive.google.com/drive/folders/10J21zmhf3q7WiToAyRZ0SgHrexEcDViw?usp=share_link, CA,  She lost the game. , 00:00:08, 00:06:15
