
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  Trundle in brush sticks out his little pillar. Uh|| red team walks away., 00:00:00, 00:00:00
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  Oh|| Malphite ults Leona ults oh man., 00:00:00, 00:00:13
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  The Yasuo does stuff., 00:00:00, 00:00:16
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  There's a lot going on. || , 00:00:00, 00:00:18
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  uh|| red team wins that team fight., 00:00:00, 00:00:21
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  The uh Team is now|| uh|| organizing by drag|| uh|| , 00:00:00, 00:00:26
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  Yasuo Ezreal and Leona get drag while Trundle and Malphite|| walk towards the other thing|| which I don't know the name of. It's not Baron but yeah. , 00:00:00, 00:00:34
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  Uh|| Ezreal|| Leona , 00:00:00, 00:00:47
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  nope. Yes. Um|| are at the chickens. Trundle and Malphite are getting the thing that isn't baron, 00:00:00, 00:00:49
League-C-A, A, L1, https://drive.google.com/drive/folders/1KPN-_r5woaeEB8EHQog1BOgdxsawPCnK?usp=share_link, LC,  uh|| it's 18 minutes and 30 seconds into , 00:00:00, 00:00:59
