
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  CodeMiko is putting on mascara as is her vTuber that's sitting to the left of her. , 00:00:21, 00:00:21
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  she has pink|| pink hair and pigtails in her vTuber look , 00:00:21, 00:00:38
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's continuing to put on|| uh|| black mascara on both of her eyes., 00:00:21, 00:00:47
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She has gold eyeshadow already on her as well. , 00:00:21, 00:00:56
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  she has a headband also to keep her hair up. , 00:00:21, 00:01:01
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  CodeMiko has stood up to go get some things while her|| um|| pink chair sits empty. She has a headband over her head|| uh|| to keep her hair out of the way, 00:00:21, 00:01:06
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  and the pink vTuber that she has alongside her is glitching, 00:00:21, 00:01:17
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  CodeMiko has returned and sat back down. , 00:00:21, 00:01:40
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's holding up a pallet of 12 colors., 00:00:21, 00:01:50
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  she's putting on eyeshadow on her right eye. , 00:00:21, 00:02:05
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's putting eyeshadow on both of her eyes now. , 00:00:21, 00:02:31
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  CodeMiko has pulled out a few products|| but haven't picked any., 00:00:21, 00:03:25
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's digging through a couple of her pallets. , 00:00:21, 00:03:43
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's coloring her eyebrows with some dark brown color. , 00:00:21, 00:03:57
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  and currently trying to see if it looks bad., 00:00:21, 00:04:04
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's applying the eyebrow coloring to her right eyebrow, 00:00:21, 00:04:26
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  and staring really close to the screen., 00:00:21, 00:04:34
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She looks nervous. , 00:00:21, 00:04:43
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She's currently coloring her other eyebrow while staring intently into the screen. , 00:00:21, 00:04:54
Makeup-B-A, A, M2, https://drive.google.com/drive/folders/1x0T0BW3UprGsLCMPtEZmymdWzNxTs7He?usp=share_link, MB,  She seems very focused on making sure that they look good., 00:00:21, 00:04:59
