
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He spawns in... is this B site or A site? A site., 00:00:00, 00:00:00
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He kills Kay/o I mean|| Yoru he kills Cypher. , 00:00:00, 00:00:04
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's in a attacker spawn, 00:00:00, 00:00:09
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  and he kills Brim and he gets killed by Sage and now he's under tube. , 00:00:00, 00:00:14
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's going up tube. , 00:00:00, 00:00:21
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He goes back towards Attacker spawn and he gets killed by Sova., 00:00:00, 00:00:24
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's on a site|| , 00:00:00, 00:00:31
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's on Attacker spawn., 00:00:00, 00:00:33
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He shoots|| no, 00:00:00, 00:00:42
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He gets killed by Sova. , 00:00:00, 00:00:44
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's on B Site near kitchen. , 00:00:00, 00:00:47
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  Going up kitchen and he kills Jett. , 00:00:00, 00:00:52
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He kills Viper in kitchen , 00:00:00, 00:00:55
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's on Defenders Spawn and he gets killed by chamber , 00:00:00, 00:00:58
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  or he is on his site. He kills Cypher and he gets killed by Sova. , 00:00:00, 00:01:04
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's in attacker spawn and going into a|| and he kills Reyna., 00:00:00, 00:01:10
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He's going back towards attacker's spawn and kills Viper and Chamber., 00:00:00, 00:01:16
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He gets killed by Jett, 00:00:00, 00:01:29
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  Now he's on B site|| main and he kills Sova., 00:00:00, 00:01:31
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  He kills Cypher that was behind him and he kills the Jett., 00:00:00, 00:01:37
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  Then he kills Sage , 00:00:00, 00:01:43
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  he kills||, 00:00:00, 00:01:46
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  he kills Kay/o, 00:00:00, 00:01:50
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  Kills Brim he , 00:00:00, 00:01:54
Valorant-B-A, A, V1, https://drive.google.com/drive/folders/1b64Js_xisNsOlt0fVtHZM00_iQaZBZU2?usp=share_link, VB,  And he gets killed by Jett and he spawns in attackers|| uh defender's spawn and he kills Sova and he wins., 00:00:00, 00:01:57
