
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  I don't know what's being drawn here., 00:00:00, 00:00:00
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Quick|| rough sketch , 00:00:00, 00:00:23
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  of., 00:00:00, 00:00:27
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Oh|| the front legs of , 00:00:00, 00:00:35
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Bahamut , 00:00:00, 00:00:39
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Starting the rough sketch of the main body. , 00:00:00, 00:00:50
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  subscriber emotes still bouncing across the screen., 00:00:00, 00:01:14
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Starting the sketch of Bahamut's legs., 00:00:00, 00:01:22
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Sketch was transformed. Adjustment., 00:00:00, 00:01:53
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Adjustment for perspective for size., 00:00:00, 00:02:00
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Bahamut's left wing|| starting the sketch. Bahamut facing viewer. , 00:00:00, 00:02:08
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Bahamut's right wing , 00:00:00, 00:02:42
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Bahamut's right wing being drawn , 00:00:00, 00:02:45
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  both wings. , 00:00:00, 00:02:48
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Free drawing on the leg portion of the sketch., 00:00:00, 00:03:05
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  focuses on a new character being drawn, 00:00:00, 00:03:45
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Character features , 00:00:00, 00:04:00
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Character features seeming more feminine , 00:00:00, 00:04:05
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Fox pointed ears|| long hair., 00:00:00, 00:04:10
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Drawing the hand of aforementioned humanoid character., 00:00:00, 00:04:55
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  Free adjustment of proportions of said character, 00:00:00, 00:05:05
Art-C-A, A, D2, https://drive.google.com/drive/folders/1MSODB6ZdHipF-snxMgF4_pvbC7nFYQX2?usp=share_link, DC,  drawing the remainder of the torso heading towards the waist. , 00:00:00, 00:05:19
