
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift is in a character select screen trying to decide what jungle to pick. , 00:00:00, 00:00:00
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  oh wait|| nevermind. I lied. That wasn't him. He's currently in his ruin Pages under the name free win., 00:00:00, 00:00:14
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  He's customized the resolve in Sorcery|| but has decided to go with the domination section , 00:00:00, 00:00:23
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  he is currently talking to his teammates about what position they're gonna pick. , 00:00:00, 00:00:33
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Right now he is actually going for support., 00:00:00, 00:00:42
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift is playing with his hair in anticipation for picking his character., 00:00:00, 00:00:55
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift is upset because Lux has been picked on. The enemy team . , 00:00:00, 00:01:17
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift immediately locks in as Bard for support. , 00:00:00, 00:01:24
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift is asking his teammate whether to go exhaust or heal on his support character., 00:00:00, 00:01:44
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift is anxious|| tapping his leg and playing with his hair., 00:00:00, 00:01:56
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  They have now entered the queue screen that has every single character on it. , 00:00:00, 00:01:59
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  He is currently hovering over Ignite on a Dawnbringer Vex skin., 00:00:00, 00:02:12
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Now they've entered the game. , 00:00:00, 00:02:24
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  Doublelift has started moving towards jungle. , 00:00:00, 00:02:52
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  towards blue buff Jungle. No wait -- that was, 00:00:00, 00:02:58
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  I don't know. , 00:00:00, 00:03:02
League-B-A, A, L3, https://drive.google.com/drive/folders/1iaic9Gf8XXBRqWCJiGhZZ3yuamjczSyG?usp=share_link, LB,  actually un ironically say that|| by the way|| , 00:00:00, 00:03:02
