
Session ID, Condition, Participant ID, Folder Link, Video ID, Description Text, First Description Time, Timecode from start of description
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  John walks through tree., 00:00:02, 00:00:02
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  John positions near A main before the round starts. , 00:00:02, 00:00:12
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  John holds the angle., 00:00:02, 00:00:18
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  John boombots A main, 00:00:02, 00:00:23
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  He moves to tree, 00:00:02, 00:00:29
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  He nades catwalk, 00:00:02, 00:00:31
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  He jiggles cat from tree, 00:00:02, 00:00:39
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  He spots Astra in cat, 00:00:02, 00:00:48
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  He continues jiggling, 00:00:02, 00:00:54
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  He gets pushed and forced out, 00:00:02, 00:00:58
Valorant-A-A, A, V3, https://drive.google.com/drive/folders/1Ihqm-uO4FqUQbxK0Ro79envgC5PtNEFt?usp=share_link, VA,  Kills Jett in heaven, 00:00:02, 00:01:05
