SessionID,ParticipantID,Condition,Category,VideoID,VideoDuration,numDescriptions,numWords,DescriptionsPerMin,WordCountsPerMin
BOTW-C-A,B3,A,Breath of the Wild,BC,302,51,396,10.13245,78.67550
Chess-C-A,C1,A,Chess,CC,296,18,118,3.64865,23.91892
Chess-B-A,C2,A,Chess,CB,371,42,849,6.79245,137.30458
Chess-A-A,C3,A,Chess,CA,375,12,81,1.92000,12.96000
Art-A-A,D1,A,Digital Art,DA,338,19,128,3.37278,22.72189
Art-C-A,D2,A,Digital Art,DC,319,22,118,4.13793,22.19436
Art-B-A,D3,A,Digital Art,DB,279,16,156,3.44086,33.54839
League-C-A,L1,A,League of Legends,LC,346,39,299,6.76301,51.84971
League-A-A,L2,A,League of Legends,LA,341,34,503,5.98240,88.50440
League-B-A,L3,A,League of Legends,LB,350,34,330,5.82857,56.57143
Makeup-A-A,M1,A,Makeup,MA,355,27,237,4.56338,40.05634
Makeup-B-A,M2,A,Makeup,MB,299,20,213,4.01338,42.74247
Smash-A-A,S1,A,Smash Bros. Ultimate,SA,358,29,300,4.86034,50.27933
Smash-C-A,S2,A,Smash Bros. Ultimate,SC,297,42,322,8.48485,65.05051
Smash-B-A,S3,A,Smash Bros. Ultimate,SB,296,49,575,9.93243,116.55405
Valorant-B-A,V1,A,Valorant,VB,117,25,199,12.82051,102.05128
Valorant-C-A,V2,A,Valorant,VC,329,37,535,6.74772,97.56839
Valorant-A-A,V3,A,Valorant,VA,287,46,263,9.61672,54.98258
BOTW-B-TA,B3,TA,Breath of the Wild,BB,213,6,171,1.69014,48.16901
Chess-B-TA,C1,TA,Chess,CB,299,10,87,2.00669,17.45819
Chess-A-TA,C2,TA,Chess,CA,252,18,223,4.28571,53.09524
Chess-C-TA,C3,TA,Chess,CC,299,10,108,2.00669,21.67224
Art-C-TA,D1,TA,Digital Art,DC,285,15,234,3.15789,49.26316
Art-B-TA,D2,TA,Digital Art,DB,273,13,135,2.85714,29.67033
Art-A-TA,D3,TA,Digital Art,DA,142,5,71,2.11268,30.00000
League-A-TA,L1,TA,League of Legends,LA,269,24,163,5.35316,36.35688
League-B-TA,L2,TA,League of Legends,LB,300,11,248,2.20000,49.60000
League-C-TA,L3,TA,League of Legends,LC,330,39,205,7.09091,37.27273
Makeup-B-TA,M1,TA,Makeup,MB,316,19,186,3.60759,35.31646
Makeup-C-TA,M2,TA,Makeup,MC,306,15,195,2.94118,38.23529
Smash-C-TA,S1,TA,Smash Bros. Ultimate,SC,336,13,187,2.32143,33.39286
Smash-B-TA,S2,TA,Smash Bros. Ultimate,SB,281,26,149,5.55160,31.81495
Smash-A-TA,S3,TA,Smash Bros. Ultimate,SA,145,25,265,10.34483,109.65517
Valorant-A-TA,V1,TA,Valorant,VA,293,30,130,6.14334,26.62116
Valorant-B-TA,V2,TA,Valorant,VB,202,23,339,6.83168,100.69307
Valorant-C-TA,V3,TA,Valorant,VC,317,29,202,5.48896,38.23344
BOTW-A-TL,B3,TL,Breath of the Wild,BA,327,9,156,1.65138,28.62385
Chess-A-TL,C1,TL,Chess,CA,277,7,59,1.51625,12.77978
Chess-C-TL,C2,TL,Chess,CC,335,25,229,4.47761,41.01493
Chess-B-TL,C3,TL,Chess,CB,294,27,180,5.51020,36.73469
Art-B-TL,D1,TL,Digital Art,DB,314,11,133,2.10191,25.41401
Art-A-TL,D2,TL,Digital Art,DA,373,12,86,1.93029,13.83378
Art-C-TL,D3,TL,Digital Art,DC,235,6,95,1.53191,24.25532
League-B-TL,L1,TL,League of Legends,LB,294,13,80,2.65306,16.32653
League-C-TL,L2,TL,League of Legends,LC,333,16,210,2.88288,37.83784
League-A-TL,L3,TL,League of Legends,LA,311,20,123,3.85852,23.72990
Makeup-C-TL,M1,TL,Makeup,MC,271,13,171,2.87823,37.85978
Makeup-A-TL,M2,TL,Makeup,MA,288,16,195,3.33333,40.62500
Smash-B-TL,S1,TL,Smash Bros. Ultimate,SB,278,8,79,1.72662,17.05036
Smash-A-TL,S2,TL,Smash Bros. Ultimate,SA,314,22,82,4.20382,15.66879
Smash-C-TL,S3,TL,Smash Bros. Ultimate,SC,293,26,165,5.32423,33.78840
Valorant-C-TL,V1,TL,Valorant,VC,274,18,65,3.94161,14.23358
Valorant-A-TL,V2,TL,Valorant,VA,295,19,182,3.86441,37.01695
Valorant-B-TL,V3,TL,Valorant,VB,315,22,144,4.19048,27.42857
